user_id,age_tier,subscription_type,movie_title,release_year,genre_tags,watch_duration_mins,user_rating_100,review_snippet
183,35-49,Basic,Schindler's List,2011,"Drama ; emotional, critically-acclaimed",113,100,Thought it was superb overall.
924,35-49,Premium,My Octopus Teacher,2017,"Documentary| real-world, informative",102,95,"Really marvellous film, highly recommend giving it a watch."
1310,25-34,Premium,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",85,63,"It was alright, nothing special."
625,18-24,Standard,Knives Out,2025,"Comedy, lighthearted | family",55,78,Absolutely marvellous performance from the lead.
712,35-49,Standard,Free Solo,2023,"Documentary| real-world, informative",132,73,Absolutely lovely performance from the lead.
1515,35-49,Basic,Hot Fuzz,2025,"Comedy, lighthearted | family",86,99,"Really brilliant film, highly recommend giving it a watch."
1673,25-34,Basic,Whiplash,2016,"Drama ; emotional, critically-acclaimed",79,50,Fairly average film.
611,18-24,Basic,The Grand Budapest Hotel,2022,"Comedy, lighthearted | family",61,84,Thought it was fantastic overall.
1195,35-49,Standard,Step Brothers,2024,"Comedy, lighthearted | family",114,91,"Really superb film, highly recommend giving it a watch."
1047,25-34,Premium,Jurassic Park,2018,"SciFi| futuristic, space ",60,72,"Really cracking film, highly recommend giving it a watch."
714,50+,Standard,Titanic,2012,Romance; romantic-comedy|,94,60,Fairly average film.
476,35-49,Standard,Shaun of the Dead,2014,"Comedy, lighthearted | family",95,83,Thought it was lovely overall.
855,25-34,Standard,Whiplash,2016,"Drama ; emotional, critically-acclaimed",163,85,Thought it was smashing overall.
1115,18-24,Basic,Terminator 2,2024,Action| Thriller; explosion-heavy,115,65,"It was alright, nothing special."
942,25-34,Standard,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",106,39,I thought the plot was appalling to be fair.
1882,50+,Basic,The Grand Budapest Hotel,2022,"Comedy, lighthearted | family",103,56,Fairly average film.
675,25-34,Standard,Knives Out,2025,"Comedy, lighthearted | family",118,64,Fairly average film.
332,25-34,Basic,Terminator 2,2024,Action| Thriller; explosion-heavy,130,59,"Not bad, but wouldn't watch it twice."
488,35-49,Standard,Step Brothers,2024,"Comedy, lighthearted | family",78,54,"Not bad, but wouldn't watch it twice."
2330,25-34,Basic,Shaun of the Dead,2014,"Comedy, lighthearted | family",123,63,"Not bad, but wouldn't watch it twice."
1316,35-49,Standard,The Social Network,2017,"Drama ; emotional, critically-acclaimed",84,72,Thought it was marvellous overall.
