user_id,age,subscription_type
1,26,Basic
2,24,Basic
3,18,Basic
4,53,Premium
5,30,Premium
6,40,Basic
7,18,Basic
8,47,Premium
9,24,Basic
10,61,Premium
11,56,Premium
12,45,Basic
13,18,Basic
14,50,Premium
15,29,Premium
16,21,Basic
17,34,Basic
18,42,Basic
19,47,Premium
20,39,Premium
21,20,Basic
22,62,Premium
23,22,Basic
24,18,Basic
25,37,Premium
26,23,Basic
27,33,Premium
28,51,Premium
29,43,Premium
30,50,Premium
31,37,Premium
32,27,Basic
33,18,Basic
34,31,Basic
35,18,Basic
36,18,Basic
37,34,Basic
38,46,Premium
39,41,Premium
40,45,Premium
41,22,Basic
42,40,Premium
43,28,Basic
44,19,Basic
45,53,Premium
46,18,Basic
47,51,Premium
48,18,Basic
49,39,Basic
50,49,Premium
51,32,Basic
52,18,Basic
53,51,Premium
54,30,Basic
55,47,Premium
56,23,Basic
57,36,Premium
58,48,Premium
59,20,Basic
60,26,Basic
61,30,Premium
62,31,Basic
63,19,Basic
64,36,Premium
65,18,Basic
66,51,Premium
67,29,Basic
68,42,Premium
69,46,Basic
70,31,Basic
71,36,Premium
72,33,Basic
73,26,Basic
74,41,Basic
75,22,Basic
76,49,Premium
77,23,Basic
78,37,Basic
79,63,Premium
80,52,Premium
81,40,Premium
82,35,Basic
83,18,Basic
84,18,Basic
85,33,Basic
86,33,Basic
87,39,Premium
88,32,Premium
89,64,Premium
90,62,Premium
91,39,Premium
92,40,Premium
93,64,Premium
94,46,Premium
95,54,Premium
96,20,Basic
97,30,Premium
98,32,Basic
99,20,Basic
100,35,Premium
101,52,Premium
102,51,Premium
103,18,Basic
104,53,Premium
105,36,Premium
106,47,Premium
107,35,Premium
108,53,Basic
109,27,Basic
110,18,Basic
111,38,Premium
112,30,Basic
113,40,Basic
114,41,Premium
115,48,Premium
116,39,Premium
117,65,Premium
118,42,Premium
119,48,Premium
120,40,Premium
121,33,Basic
122,35,Premium
123,36,Premium
124,36,Premium
125,52,Premium
126,36,Premium
127,43,Basic
128,30,Basic
129,44,Premium
130,26,Basic
131,45,Premium
132,34,Basic
133,40,Premium
134,27,Basic
135,46,Basic
136,44,Premium
137,21,Basic
138,25,Basic
139,41,Premium
140,41,Premium
141,21,Basic
142,41,Basic
143,18,Basic
144,32,Premium
145,70,Premium
146,18,Basic
147,34,Basic
148,51,Premium
149,63,Premium
150,45,Premium
151,57,Premium
152,34,Premium
153,19,Basic
154,18,Basic
155,47,Premium
156,43,Premium
157,18,Basic
158,43,Basic
159,51,Premium
160,45,Premium
161,45,Premium
162,18,Basic
163,31,Basic
164,24,Basic
165,19,Basic
166,35,Premium
167,19,Premium
168,18,Basic
169,30,Basic
170,39,Premium
171,39,Basic
172,39,Premium
173,40,Premium
174,18,Basic
175,81,Premium
176,18,Basic
177,45,Premium
178,35,Premium
179,38,Premium
180,22,Basic
181,38,Premium
182,22,Basic
183,44,Premium
184,33,Basic
185,29,Basic
186,30,Basic
187,41,Premium
188,47,Basic
189,50,Premium
190,45,Premium
191,35,Basic
192,43,Premium
193,32,Premium
194,20,Basic
195,44,Premium
196,21,Basic
197,42,Premium
198,52,Premium
199,21,Basic
200,32,Basic
201,34,Basic
202,26,Basic
203,32,Basic
204,59,Premium
205,25,Basic
206,26,Premium
207,47,Premium
208,60,Premium
209,30,Basic
210,21,Premium
211,57,Premium
212,38,Premium
213,18,Basic
214,37,Premium
215,48,Premium
216,46,Premium
217,46,Premium
218,24,Premium
219,53,Premium
220,49,Premium
221,39,Basic
222,51,Premium
223,46,Premium
224,31,Basic
225,18,Basic
226,38,Premium
227,18,Premium
228,18,Basic
229,19,Basic
230,46,Premium
231,18,Basic
232,36,Premium
233,27,Basic
234,37,Premium
235,49,Premium
236,43,Premium
237,18,Basic
238,62,Premium
239,66,Premium
240,19,Basic
241,18,Basic
242,53,Premium
243,18,Basic
244,34,Premium
245,40,Premium
246,40,Basic
247,40,Basic
248,18,Basic
249,59,Premium
250,18,Basic
251,44,Premium
252,18,Basic
253,31,Basic
254,30,Basic
255,42,Premium
256,28,Basic
257,27,Basic
258,43,Premium
259,18,Basic
260,18,Basic
261,18,Basic
262,54,Premium
263,33,Basic
264,55,Premium
265,57,Premium
266,32,Basic
267,59,Premium
268,26,Basic
269,44,Basic
270,58,Premium
271,43,Premium
272,37,Premium
273,18,Basic
274,30,Basic
275,31,Basic
276,38,Premium
277,64,Premium
278,34,Premium
279,55,Premium
280,24,Basic
281,21,Basic
282,52,Premium
283,35,Premium
284,45,Premium
285,18,Basic
286,18,Basic
287,49,Premium
288,44,Basic
289,35,Premium
290,18,Basic
291,21,Basic
292,20,Basic
293,18,Basic
294,40,Basic
295,18,Basic
296,44,Premium
297,36,Basic
298,36,Premium
299,67,Premium
300,46,Premium
301,40,Basic
302,30,Basic
303,18,Basic
304,18,Basic
305,55,Premium
306,25,Basic
307,41,Basic
308,53,Premium
309,33,Basic
310,27,Basic
311,22,Basic
312,19,Basic
313,38,Premium
314,44,Premium
315,45,Premium
316,31,Basic
317,47,Premium
318,18,Basic
319,43,Basic
320,32,Basic
321,25,Basic
322,53,Premium
323,46,Premium
324,38,Premium
325,25,Basic
326,41,Premium
327,51,Premium
328,21,Basic
329,39,Premium
330,25,Basic
331,29,Basic
332,30,Basic
333,28,Basic
334,43,Premium
335,45,Premium
336,23,Basic
337,41,Premium
338,52,Premium
339,50,Premium
340,22,Basic
341,42,Premium
342,29,Basic
343,39,Premium
344,33,Basic
345,37,Basic
346,46,Premium
347,45,Premium
348,33,Basic
349,58,Premium
350,18,Basic
351,41,Premium
352,18,Basic
353,18,Basic
354,41,Premium
355,18,Basic
356,49,Premium
357,18,Basic
358,20,Basic
359,35,Premium
360,18,Basic
361,34,Basic
362,33,Premium
363,21,Premium
364,24,Basic
365,18,Basic
366,33,Basic
367,18,Basic
368,18,Basic
369,20,Basic
370,18,Basic
371,53,Premium
372,46,Premium
373,24,Basic
374,24,Basic
375,44,Basic
376,26,Premium
377,46,Basic
378,42,Premium
379,18,Basic
380,18,Basic
381,32,Basic
